ds,yhat,yhat_lower,yhat_upper
2017-12-31,2458.70191727574,-331.64210252100463,5073.879508679905
2018-01-01,2349.1194488976034,-438.8066996089088,5176.496925318764
2018-01-02,1641.5632008863963,-996.7094965350904,4321.223741010218
2018-01-03,914.7802837189463,-1647.9939637811854,3561.490685159408
2018-01-04,2016.9764968993863,-699.4842267791227,4822.949895579081
2018-01-05,2157.322154424306,-466.92429293735773,4840.41353567381
2018-01-06,1705.5444908455352,-860.7786566635631,4401.787527972929
2018-01-07,1812.5401536410027,-1021.014652681616,4370.798805878051
2018-01-08,1966.414799775154,-932.1562735824263,4524.911884167937
2018-01-09,1345.8436146536246,-1448.7751975778124,4125.469215668509
2018-01-10,431.3796075196585,-2159.0948890629234,2989.9372987195097
2018-01-11,1600.5145386459685,-930.4245967185263,4345.055860591826
2018-01-12,1811.9826609914417,-783.6740258597156,4585.649533124347
2018-01-13,1434.042201874796,-1246.587979962742,4149.780174862833
2018-01-14,1616.0498473250445,-1243.1657456555683,4450.181532292887
2018-01-15,1844.5354265781825,-923.7078375182518,4520.22349629394
2018-01-16,1296.5987580876174,-1422.1569608428113,3937.623118187596
2018-01-17,451.25465162470005,-2233.49377287538,3287.1335473416416
2018-01-18,1684.5300436992402,-1123.879510666723,4275.513273028925
2018-01-19,1953.8025736618524,-690.7178865042912,4749.010110554883
2018-01-20,1626.1146752881682,-1054.7403449404208,4500.534156699088
2018-01-21,1849.7776415193534,-1061.1814845461608,4566.6912830731735
2018-01-22,2110.4721207199586,-586.7710784797022,4702.543020397659
2018-01-23,1584.6663518816604,-1305.0684554817017,4350.945063124873
2018-01-24,750.9775809102887,-1861.290131683708,3632.082796007123
2018-01-25,1985.280199337053,-599.6473653644505,4810.322514949032
2018-01-26,2245.049604738167,-493.0388929489637,5220.220072869625
2018-01-27,1897.6756863866028,-852.850974540555,4647.156042160527
2018-01-28,2092.0603642669175,-601.7383200234307,4583.876376904865
2018-01-29,2314.70575406017,-458.4376778332833,5061.076684029493
2018-01-30,1743.1145214820249,-908.2545000361368,4323.941450700538
2018-01-31,857.1282606054008,-1786.227488645639,3487.402016067007
2018-02-01,2034.0079575494583,-626.6582875691769,4542.251190271481
2018-02-02,2232.7461745137093,-313.4525589737389,5196.605743894175
2018-02-03,1822.3455938347297,-893.9275679270005,4657.18646003988
2018-02-04,1953.379169339664,-650.0286414549334,4693.862512569392
2018-02-05,2114.039339912321,-560.5077215508991,4640.970199645565
2018-02-06,1483.4987926198314,-1265.612051770318,4108.158501238914
2018-02-07,543.209553292681,-2117.8464404075307,3295.693613459075
2018-02-08,1671.945405033768,-1056.5349447862407,4451.13698860613
2018-02-09,1830.0781817795385,-772.7292491827003,4339.481945492766
2018-02-10,1387.8234389944805,-1444.543878424728,4168.3423259298825
2018-02-11,1496.771540239783,-1350.4118774318522,4112.646556342671
2018-02-12,1645.9123153789237,-1086.0160080192625,4369.575782957047
2018-02-13,1014.9763706368958,-1709.16497652499,3790.7259223175047
2018-02-14,85.72029838546177,-2765.103067365504,2772.108825033963
2018-02-15,1236.9611228316166,-1366.7170417269474,3947.9015582924135
2018-02-16,1428.850721454376,-1260.770229537915,4222.831377823257
2018-02-17,1031.1257694679657,-1587.8135762254378,3557.0489533422724
2018-02-18,1194.6491425247216,-1312.396697614858,3905.062145026844
2018-02-19,1407.4506837686663,-1394.6369407139189,4192.4432466860435
2018-02-20,848.0900259530479,-1810.445153418883,3617.7492693579366
2018-02-21,-3.0318030649050343,-2830.7620647972385,2479.913592701106
2018-02-22,1231.392708032509,-1448.9368785268714,3831.3500679630806
2018-02-23,1509.8861271924213,-1368.599525571492,4233.934613732731
2018-02-24,1200.4728636117422,-1438.5849389802238,3782.9836160014306
2018-02-25,1452.2592160094314,-1237.36116305925,4034.5161377452073
2018-02-26,1751.5136672510803,-1131.7465715198832,4566.50585041717
2018-02-27,1275.0691751749703,-1702.5959859743132,4018.927033762808
2018-02-28,501.6732528474108,-2396.4382269981106,3344.7638675270464
2018-03-01,1807.0896313964809,-951.9316095461878,4457.385415979658
2018-03-02,2148.4406522246722,-699.6185053008384,4835.1697691934405
2018-03-03,1892.5243318414039,-828.9275608029054,4824.649179250454
2018-03-04,2187.420459115536,-643.9545531981001,4975.766980510094
2018-03-05,2518.5921225792194,-238.8309038510286,5023.037057932007
2018-03-06,2062.303953832319,-742.4341790950361,4674.988013062006
2018-03-07,1296.982548357491,-1396.3844043547047,4134.6599978993945
2018-03-08,2598.322664128975,-246.44528427608907,5455.654551157262
2018-03-09,2923.6282949781516,170.0256502193811,5394.268812694015
2018-03-10,2640.12265502161,94.75301188773355,5195.822634083656
2018-03-11,2896.5416666497485,158.035027685016,5576.417416366834
2018-03-12,3179.217714756796,362.21623444991945,5891.162606774914
2018-03-13,2665.475440585847,-162.04249803144822,5405.420487083003
2018-03-14,1834.9656327098714,-673.2464826157826,4638.528144704852
2018-03-15,3064.741504694369,439.15574602475965,5784.899657126796
2018-03-16,3313.5672203215727,715.6126249751354,5929.403980026933
2018-03-17,2950.193521631975,303.4008931241417,5449.2680925593695
2018-03-18,3124.915904885923,326.06540677536196,5835.382354952947
2018-03-19,3325.6229719277153,573.3234216254713,6035.931058275718
2018-03-20,2731.157585334136,51.408053015359265,5443.247674472545
2018-03-21,1822.6177086994524,-951.5353627908906,4753.793435140118
2018-03-22,2978.4019940705534,214.99409399055835,5916.049488477192
2018-03-23,3158.490679584255,522.2476812557323,5751.628635681548
2018-03-24,2732.6972677329372,83.62610337978495,5522.444377520097
2018-03-25,2852.206943095738,303.08993367867794,5698.601114454223
2018-03-26,3005.609757903542,349.5687335051925,5805.86479558339
2018-03-27,2372.2514930406687,-287.7825303983009,5252.114241413884
2018-03-28,1433.529228380962,-1460.9063236241138,4146.265753821561
2018-03-29,2567.9367080934735,-155.9929726964418,5391.799722131145
